measured_at,IGCC.IG.II1211A.PV/PLOT,IGCC.IG.TT1228A.PV/PLOT,IGCC.IG.YI1593AA.PV/PLOT,IGCC.IG.TT1227A.PV/PLOT,IGCC.IG.YI1593AB.PV/PLOT,IGCC.IG.YI1594AA.PV/PLOT,IGCC.IG.YI1594AB.PV/PLOT,IGCC.IG.II1211B.PV/PLOT,IGCC.IG.TT1228B.PV/PLOT,IGCC.IG.YI1593BA.PV/PLOT,IGCC.IG.TT1227B.PV/PLOT,IGCC.IG.YI1593BB.PV/PLOT,IGCC.IG.YI1594BA.PV/PLOT,IGCC.IG.YI1594BB.PV/PLOT,IGCC.IG.II1442.PV/PLOT,IGCC.IG.TT1427.PV/PLOT,IGCC.IG.YI1483A.PV/PLOT,IGCC.IG.TT1428.PV/PLOT,IGCC.IG.YI1483B.PV/PLOT,IGCC.IG.YI1484A.PV/PLOT,IGCC.IG.YI1484B.PV/PLOT,IGCC.IG.II7140.PV/PLOT,IGCC.IG.TT7111.PV/PLOT,IGCC.IG.YI7364A.PV/PLOT,IGCC.IG.TT7100.PV/PLOT,IGCC.IG.YI7364B.PV/PLOT,IGCC.IG.YI7365A.PV/PLOT,IGCC.IG.YI7365B.PV/PLOT,IGCC.IG.II7145.PV/PLOT,IGCC.IG.TT7152.PV/PLOT,IGCC.IG.YI7358A.PV/PLOT,IGCC.IG.TT7151.PV/PLOT,IGCC.IG.YI7358B.PV/PLOT,IGCC.IG.YI7359A.PV/PLOT,IGCC.IG.YI7359B.PV/PLOT
2025-12-30 18:04:00,-1.519485,17.43163,0.5915095,15.70213,0.5715129,0.5359885,0.5898045,852.2905,60.80186,15.27893,61.75318,15.2297,7.129012,9.702911,460.4108,56.29605,22.51695,49.50105,21.58537,21.27486,29.76321,-1.557478,16.93977,0.977166,14.07915,0.9082531,1.007795,0.953348,228.6386,63.00699,11.66063,53.70872,10.47543,5.697723,6.138409
2025-12-30 18:05:00,-1.538486,17.34583,0.5962875,15.74808,0.5507839,0.5219393,0.5669379,852.125,60.65715,15.22101,61.50446,15.28364,7.101273,9.685585,458.8643,56.33012,22.56886,49.51393,21.82962,21.50083,29.88707,-1.241827,16.74601,0.9721968,14.11844,0.9569539,0.9829981,0.9608951,228.3988,62.99371,11.71158,53.74165,10.45662,5.766621,6.207955
2025-12-30 18:06:00,-1.473286,17.39056,0.5817749,15.66784,0.5451723,0.5204061,0.5603091,851.9149,60.638,15.30858,62.08363,15.16181,7.178153,9.682959,457.9239,56.32853,22.68648,49.50585,21.33287,21.69569,29.83796,-1.567075,16.82316,0.9875796,14.03332,0.9526346,0.9873792,0.9664407,228.0444,62.99251,11.7368,53.7027,10.45642,5.736205,6.248193
2025-12-30 18:07:00,-1.51176,17.32103,0.6241985,15.68132,0.5583015,0.5311071,0.5776239,852.619,60.85109,15.19235,62.10177,15.19386,7.100159,9.676683,458.5141,56.32209,22.51082,49.50016,21.44902,21.36358,29.87622,-1.474838,16.61025,0.9872332,14.11803,0.9344803,0.975897,0.9460908,228.3811,62.98871,11.79867,53.72255,10.54093,5.761103,6.256362
2025-12-30 18:08:00,-1.55179,17.36758,0.6273535,15.61891,0.5544372,0.5310071,0.5792663,851.929,60.28764,15.12077,61.60585,15.26568,7.268369,9.661571,460.1804,56.32146,22.47035,49.51373,21.62097,22.14738,29.95875,-1.389886,16.79993,0.9957131,14.11745,0.9258363,0.9403465,0.9599484,228.6133,62.98829,11.60151,53.70568,10.47795,5.749614,6.37063
2025-12-30 18:09:00,-1.462382,17.31281,0.5901995,15.63665,0.5724465,0.5203554,0.5910015,851.1161,61.18923,15.2131,61.93933,15.15872,7.144116,9.715264,460.393,56.31992,22.64645,49.49966,21.54983,21.98473,29.97904,-1.228087,16.60748,0.9547894,14.09089,0.9570241,0.9665955,0.9372817,228.5058,62.98853,11.60526,53.68665,10.4677,5.68946,6.182849
2025-12-30 18:10:00,-1.468207,17.15287,0.5906472,15.72725,0.5757975,0.5303084,0.5753954,851.7259,60.67957,15.2977,61.55782,15.16098,7.247477,9.66007,459.7331,56.3164,22.62924,49.51093,21.36264,21.31242,29.85874,-1.223139,16.74694,0.978024,14.13524,0.9831368,1.005022,0.9691133,228.4126,62.96852,11.6566,53.70736,10.45347,5.620238,6.196776
2025-12-30 18:11:00,-1.632037,17.34294,0.6246581,15.57065,0.5789942,0.5309969,0.5543171,851.4669,60.87463,15.16111,61.48003,15.27841,7.205432,9.653716,459.6571,56.33157,22.51809,49.50397,21.48815,21.45685,29.87601,-1.434561,16.75749,0.95709,14.11577,0.9541591,1.000502,0.9788707,228.2286,62.9822,11.59783,53.70648,10.48965,5.780388,6.158331
2025-12-30 18:12:00,-1.466928,17.24122,0.5834507,15.6895,0.5583364,0.5571247,0.5757592,851.7134,60.54519,15.26693,61.89078,15.26162,7.256374,9.693309,459.2074,56.33152,22.59763,49.51318,22.06847,21.91351,30.00228,-1.385966,16.74282,0.9902304,14.09431,0.9622146,0.9794154,0.958204,228.0935,62.98684,11.7065,53.69728,10.48717,5.732926,6.169144
2025-12-30 18:13:00,-1.57576,17.35752,0.5827999,15.6722,0.574468,0.5323369,0.5845988,853.1717,61.20528,15.28021,61.94848,15.20429,7.265278,9.681472,460.474,56.31225,22.62907,49.48288,21.66335,22.05319,29.86341,-1.45369,16.68184,0.9480449,14.05999,0.9327189,0.9743722,0.993438,228.8552,62.98717,11.71339,53.69287,10.36279,5.634745,6.271329
2025-12-30 18:14:00,-1.466048,17.31488,0.5958337,15.71885,0.5854712,0.5098823,0.5783076,852.162,61.11511,15.14852,61.61649,15.17457,7.12846,9.692259,461.0726,56.31927,22.76491,49.51373,21.44984,21.37255,29.92603,-1.459425,16.83894,0.9508822,13.99039,0.9566165,0.9754908,0.9526941,228.7619,62.97557,11.80564,53.69202,10.50093,5.819074,6.122901
2025-12-30 18:15:00,-1.589661,17.39962,0.6277525,15.66882,0.5361249,0.5097337,0.5627803,851.7175,61.01783,15.25491,61.8655,15.19255,7.227791,9.65101,459.1586,56.32403,22.6001,49.52619,21.77467,21.36196,29.9754,-1.697937,16.85821,0.9734465,14.0306,0.9774484,0.9755549,0.9822183,228.5656,62.94001,11.63823,53.6868,10.49646,5.829964,6.213525
2025-12-30 18:16:00,-1.551437,17.32062,0.6062422,15.66545,0.578007,0.5298995,0.5811581,850.9746,60.46712,15.20246,61.84916,15.20889,7.119521,9.667912,459.7211,56.3194,22.60918,49.51821,21.99359,21.92272,30.04041,-1.492807,16.74461,0.9748008,14.06444,0.9552002,0.9770735,0.9669399,228.5577,62.95218,11.74564,53.69342,10.50083,5.680065,6.127346
